,Fire 7,Fire HD 8,Fire HD 10,Fire 7 Kids,iPad 10.2,Fire HD 8 Kids,Dragon Touch,iPad 9.7
Fire 7,0.0,0.5904383926333496,0.1621869737736173,0.361818446051909,0.1433329395375091,0.0331058281591176,0.0240003077444318,0.0804691530497989
Fire HD 8,0.7529851991194757,0.0,0.4294904463819158,0.3359854279379893,0.1999398722172932,0.1932160557365879,0.1081615455168893,0.1164786310320845
Fire HD 10,0.0577102218583158,0.1439774802732431,0.0,0.0790099333276502,0.1422773674274334,0.2966125942035429,0.0219783497719361,0.0774345040378619
Fire 7 Kids,0.1266721618463055,0.1309447827952988,0.0800256920609445,0.0,0.0124899953411561,0.4398773458129767,0.2928380895091775,0.0068265838035027
iPad 10.2,0.0486523035764834,0.0794423305895844,0.1408100634628769,0.0102599206847625,0.0,0.0153272951489873,0.3098086824332779,0.7146331598056923
Fire HD 8 Kids,0.0028575983064553,0.033861664418783,0.1510184061522908,0.2003622573830311,0.0044354095601614,0.0,0.1879187709338857,0.001209887010232
Dragon Touch,0.0002128733971607,0.0014960658736546,0.0003680139785454,0.0105850143576815,0.0125880030135405,0.0186464157698839,0.0,0.0029480812608996
iPad 9.7,0.010909641895803,0.019839283416087,0.0361004041898093,0.0019790002569764,0.484936412902906,0.0032144651689028,0.0552942540904019,0.0
