,Fire 7,Fire HD 8,Fire HD 10,Fire 7 Kids,iPad 10.2,Fire HD 8 Kids,Dragon Touch,iPad 9.7
Fire 7,0.0,0.329678254945788,0.3808267390307312,0.3010207347588558,0.312173424192483,0.2827050702479944,0.2786720793182887,0.2855664400228007
Fire HD 8,0.2252943475600809,0.0,0.2289966781250653,0.1749005918798986,0.1784814073739525,0.1652383352599929,0.1622429495843011,0.1659289691006523
Fire HD 10,0.3859210091633995,0.3400796105268126,0.0,0.3144125773527398,0.3200049169402794,0.2973906308044244,0.2907586899930214,0.2953906388540122
Fire 7 Kids,0.1225396956356795,0.10474937501019,0.1278344704921291,0.0,0.1003180679964528,0.0909424398710085,0.0894497305183434,0.0911727778464656
iPad 10.2,0.1528567926810755,0.1285477822184897,0.1482208855344277,0.1216009305276887,0.0,0.1133153487065076,0.1123571902939364,0.1136086538115885
Fire HD 8 Kids,0.043427331190415,0.0382015904745053,0.0490305361412463,0.0346503635111133,0.0347623269247429,0.0,0.032107625891598,0.0326876703926149
Dragon Touch,0.0216287827206235,0.0181969864917213,0.0206944207981502,0.0165361673291795,0.0171202588474151,0.0155513585651527,0.0,0.0156448499718669
iPad 9.7,0.0483320410487225,0.0405464003324911,0.044396269878249,0.036878634640522,0.0371395977246749,0.0348568165449146,0.0344117344005074,0.0
