"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3","-0.01, 48.076, 11.869, 12.382, 50.959, 6.217, 10.678, -42.029, 33.079, 26.613, 37.308, 24.707, 29.387, -20.693, 0.608, 2.889, 0.554, 0.326, -11.805, 2.131, 2.643, 45.374, 17.816, 21.124, -1.24, -0.205, -0.422, -3.109",-4401.80180610242,1,8859.60361220483
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, dummy25, dummy26, dummy27","-0.01, 0.184, 0.203, 1.944, -0.121, 1.593, 1.256, 1.422, 1.185, 1.293, 2.58, 0.096, 0.239, 1.064, 0.608, 4.243, 4.044, 0.326, 2.915, 2.131, 0.969, 0.2, 0.482, 0.849, 0.642, 4.548, 1.532, 1.966",-4401.80180610241,1,8859.60361220483
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.PC1","-0.01, 47.428, 11.771, 12.222, 50.182, 6.102, 10.543, -41.626, 32.717, 26.264, 36.246, 24.453, 28.768, -20.311, 0.608, 2.871, 0.563, 0.325, -11.545, 2.129, 2.525, 44.214, 17.392, 20.608, -1.596, -0.191, -0.424, -3.058, -0.048",-4401.66845805616,0.60556,8861.33691611233
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.01, 47.379, 11.756, 12.218, 50.141, 6.099, 10.539, -41.62, 32.669, 26.246, 36.24, 24.415, 28.759, -20.307, 0.608, 2.871, 0.562, 0.325, -11.551, 2.13, 2.526, 44.204, 17.386, 20.6, -1.591, -0.192, -0.424, -3.057, -0.047, -0.015",-4401.64601844788,0.85574,8863.29203689576
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.013, 20.719, 8.386, 8.586, 20.336, 4.027, 7.561, -64.31, 19.059, 16.26, 17.91, 14.85, 15.107, -27.002, 0.63, 2.944, 0.406, 0.394, -16.078, 2.288, 2.17, 17.951, 9.239, 10.087, -3.127, -0.161, -0.503, -2.238, 0.072, -0.232, -1.24",-4396.42621285077,0.01315,8854.85242570153
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.price, sd.PC1","-0.014, -431.965, -54.763, -107.748, -537.899, -80.765, -89.944, 337.89, -225.013, -227.913, -714.207, -155.2, -447.049, 276.668, 0.764, -6.789, 7.274, 0.691, 190.05, 2.493, -91.469, -788.159, -313.788, -382.054, -204.318, 8.614, -3.128, 36.316, 0.025, 10.903",-4397.14987642705,0.00954,8854.29975285409
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.017, -836.147, -107.482, -209.641, -1041.231, -155.961, -174.669, 668.492, -439.318, -442.709, -1366.672, -301.6, -861.42, 535.343, 0.841, -13.872, 12.926, 0.846, 367.292, 2.719, -174.574, -1510.825, -603.977, -735.245, -380.147, 17.629, -5.841, 70.339, 0.031, 20.159, 0.039",-4389.20743185618,1e-05,8840.41486371237
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14, dummy15, dummy16, dummy17, dummy18, dummy19, dummy20, dummy21, dummy22, dummy23, dummy24, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.017, -841.585, -107.72, -211.468, -1049.354, -157.017, -176.113, 669.014, -440.943, -445.11, -1385.292, -302.145, -871.096, 540.697, 0.868, -13.505, 13.148, 0.929, 370.491, 2.806, -177.168, -1529.939, -610.673, -744.065, -389.226, 17.876, -5.979, 70.949, 0.034, 20.677, 0.04, 0.01",-4387.81347650801,1e-05,8839.62695301602
