"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.022, -34.128, -37.254, -1.738, -29.576, -16.65, 3.3, 20.358, -43.826, -21.944, -5.05, 14.154, -0.698, 1.477, -1.927",-1914.27403872159,1,3858.54807744319
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.022, -1.124, -0.988, -0.781, -1.232, -0.852, -0.578, 0.04, -1.253, -0.63, -0.949, -0.973, -0.461, -0.924, -1.266",-1914.27403872159,1,3858.54807744319
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.006, 40.741, 45.1, 4.789, 33.206, 22.818, -6.373, -24.278, 58.459, 29.042, 5.484, -20.076, 0.823, -2.152, 2.277, 0.499",-1914.20498737678,0.71017,3860.40997475356
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.032, 203.413, 223.939, 19.715, 168.685, 109.3, -29.561, -122.941, 278.209, 140.81, 28.615, -97.587, 4.087, -10.189, 11.446, 1.723, 0.363",-1913.78078800165,0.61064,3861.5615760033
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.133, 290.998, 343.805, 42.324, 39.474, 251.52, -108.478, -215.051, 477.217, 169.782, 16.011, -155.888, 10.502, -18.801, 14.907, -0.557, -0.225, 15.643",-1910.0846879205,0.0388,3856.169375841
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","0, 187.582, 206.527, 17.7, 156.28, 100.471, -25.205, -111.869, 259.087, 129.209, 26.263, -87.16, 3.806, -9.275, 10.532, -0.048, -1.428",-1913.45635358141,0.44145,3860.91270716283
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.076, -58.537, -64.167, 2.399, -56.22, -25.868, -5.406, 26.112, -82.811, -34.554, -10.026, 16.138, -1.269, 1.816, -3.459, 0.015, 0.834, 1.393",-1911.25586887368,0.10986,3858.51173774736
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-1.07, -2401.63, -2637.862, -73.965, -2149.826, -1170.8, 98.687, 1281.992, -3340.711, -1557.873, -373.897, 970.142, -49.354, 99.036, -139.308, -0.935, -3.177, 23.911, 1.956",-1906.31070814818,0.00312,3850.62141629636
