"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.085, -0.539, -1.077, -3.523, -0.181, -0.228, 1.022, -1.389, 1.153, 1.166, 0.806, 0.404, -0.162, 0.007, 0.124",-2307.89462721666,1,4645.78925443332
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.085, -0.224, -0.954, -1.024, -0.058, 0.056, 1.066, -1.24, -0.07, -0.408, -0.814, -0.462, -0.797, 0.181, 0.04",-2307.89462721666,1,4645.78925443332
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.085, -0.545, -1.076, -3.534, -0.181, -0.226, 1.022, -1.388, 1.047, 1.006, 0.635, 0.349, -0.158, 0.008, 0.124, -0.048",-2307.83559457134,0.73114,4647.67118914267
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.088, -1.032, -1.035, -4.816, -0.155, -0.036, 1.022, -1.216, 0.838, 0.353, -0.078, 0.955, -0.258, 0.199, 0.103, -0.233, 0.2",-2306.95166495011,0.38947,4647.90332990022
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.144, -10.547, 0.443, -226.555, -2.923, -9.211, 0.881, -5.84, 12.637, 14.947, 14.092, 17.59, -4.612, 3.685, 6.481, 1.93, 1.552, -4.319",-2302.75156925333,0.01628,4641.50313850665
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.085, -0.545, -1.076, -3.534, -0.181, -0.226, 1.022, -1.388, 1.047, 1.006, 0.635, 0.349, -0.158, 0.008, 0.124, 0, -0.048",-2307.83559457134,0.94268,4649.67118914267
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.088, -1.032, -1.035, -4.816, -0.155, -0.036, 1.022, -1.216, 0.838, 0.353, -0.078, 0.955, -0.258, 0.199, 0.103, 0, -0.233, 0.2",-2306.95166495011,0.59642,4649.90332990022
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.159, -25.963, 3.266, -623.824, -8.932, -30.592, 0.67, -19.384, -27.395, -38.783, -45.13, 0.733, -8.711, 7.303, 19.368, -0.062, -8.838, 0.678, -12.592",-2299.89594950645,0.00302,4637.79189901289
