Please Tell Me,The Housemaid,The Ritual,The Inmate,The Serpent & The Wings of Night,The Ashes & The Star Cursed King,Court of Ravens and Ruin,Dopamine Detox,Don't Believe Everything You Think,The Art of Letting Go,CS_Logit,CS_X,CS_PCA
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0.25108137817839693,0.32400636663250776,0.04098661484687341
0,0,0,0,0,0,0,0,1,0,0.5595057190807745,0.5379449974018413,0.1830825735658595
0,0,0,0,0,0,0,0,1,1,1.1344330550527948,1.1634268725734527,0.8457919583198213
0,0,0,0,0,0,0,1,0,0,0.46236713043748007,0.30139259395666074,0.04566358642678239
0,0,0,0,0,0,0,1,0,1,1.0718175883839798,1.0503807718470994,0.7737235777795766
0,0,0,0,0,0,0,1,1,0,1.2232422968900836,1.1452240402488318,0.8317330599299404
0,0,0,0,0,0,0,1,1,1,1.5606103540150362,1.536587285370362,1.2338675155552614
0,0,0,0,0,0,1,0,0,0,0.12887598190222377,0.2935561127366443,-0.029250039169028352
0,0,0,0,0,0,1,0,0,1,0.9026692260559476,1.0509658364009928,0.9278608939688346
0,0,0,0,0,0,1,0,1,0,1.080429635480743,1.1755936111777743,1.0539331863749521
0,0,0,0,0,0,1,0,1,1,1.4539886443308032,1.5566264633116929,1.4167283096100662
0,0,0,0,0,0,1,1,0,0,1.0215551708911748,1.0862906854777645,0.9764017794552241
0,0,0,0,0,0,1,1,0,1,1.4122278514298319,1.4935190709972574,1.3681103302379738
0,0,0,0,0,0,1,1,1,0,1.5234743891356637,1.5627882422129864,1.4342572355969168
0,0,0,0,0,0,1,1,1,1,1.7811422396161858,1.8336692924248454,1.6853245562231478
0,0,0,0,0,1,0,0,0,0,-0.4516373606375327,-0.7030830000409635,-0.5813165501636751
0,0,0,0,0,1,0,0,0,1,0.6648838630958138,0.8151432213090275,0.6787713374790484
0,0,0,0,0,1,0,0,1,0,0.874783438246127,1.0123518938861098,0.828753466289457
0,0,0,0,0,1,0,0,1,1,1.3232670094762562,1.4557993617681528,1.245556161437405
0,0,0,0,0,1,0,1,0,0,0.8129121555801068,0.9066785330445312,0.7452174897523731
0,0,0,0,0,1,0,1,0,1,1.2731479665718501,1.3814817439551492,1.1881824110164978
0,0,0,0,0,1,0,1,1,0,1.398212227434596,1.4763992492075415,1.2649646206906267
0,0,0,0,0,1,0,1,1,1,1.6865948262215968,1.7684469257655466,1.5443929795481046
0,0,0,0,0,1,1,0,0,0,0.5860136653694293,0.7214337765310805,0.45418873996521947
0,0,0,0,0,1,1,0,0,1,1.136854843004888,1.3123266505745914,1.1776183009532324
0,0,0,0,0,1,1,0,1,0,1.27837203517188,1.4311235601764265,1.2960272099622077
0,0,0,0,0,1,1,0,1,1,1.5936483993496047,1.7482583566571555,1.6015364348025707
0,0,0,0,0,1,1,1,0,0,1.236193587750322,1.369074649919921,1.2316198925710367
0,0,0,0,0,1,1,1,0,1,1.560245100295795,1.6984962195811384,1.557226945827019
0,0,0,0,0,1,1,1,1,0,1.6573023391275206,1.7677694911908484,1.6235734341140153
0,0,0,0,0,1,1,1,1,1,1.884285180696743,1.9962528400995103,1.8404235849333974
0,0,0,0,1,0,0,0,0,0,0.029688938011142356,0.029648806219553656,-0.11436806356424188
0,0,0,0,1,0,0,0,0,1,0.8516613032265584,1.012367760533314,0.8787647672852014
0,0,0,0,1,0,0,0,1,0,1.0293357428660175,1.1724592106957612,1.008766957418068
0,0,0,0,1,0,0,0,1,1,1.4216586835454135,1.5628112384419528,1.380993724188453
0,0,0,0,1,0,0,1,0,0,0.9717653397709541,1.0952572397087341,0.9438287765803438
0,0,0,0,1,0,0,1,0,1,1.3757710768895186,1.504977521789894,1.3368956041226852
0,0,0,0,1,0,0,1,1,0,1.4892862009479706,1.5821253550540364,1.4029287904304248
0,0,0,0,1,0,0,1,1,1,1.7545239898681708,1.8524162431226567,1.6597851558495034
