Please Tell Me,The Housemaid,The Ritual,The Inmate,The Serpent & The Wings of Night,The Ashes & The Star Cursed King,Court of Ravens and Ruin,Dopamine Detox,Don't Believe Everything You Think,The Art of Letting Go,CS_Logit,CS_X,CS_PCA
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0.2653913258446261,0.3383163142987368,0.040986614507010175
0,0,0,0,0,0,0,0,1,0,0.5738156737069787,0.5522549520280455,0.183082309651055
0,0,0,0,0,0,0,0,1,1,1.148743006716972,1.177736824067105,0.8457918376218192
0,0,0,0,0,0,0,1,0,0,0.4766770789985187,0.31570253251769925,0.04566389263132693
0,0,0,0,0,0,0,1,0,1,1.0861275365431509,1.0646907149661384,0.7737236939160971
0,0,0,0,0,0,0,1,1,0,1.2375522486306698,1.1595339877155038,0.8317330500716422
0,0,0,0,0,0,0,1,1,1,1.5749203046355824,1.5508972328614044,1.233867506426003
0,0,0,0,0,0,1,0,0,0,0.14318593774906554,0.3078660685834861,-0.029249868316162077
0,0,0,0,0,0,1,0,0,1,0.9169791775418562,1.06527578814914,0.9278609061272051
0,0,0,0,0,0,1,0,1,0,1.0947395905907231,1.1899035663438786,1.053933142326734
0,0,0,0,0,0,1,0,1,1,1.468298597139676,1.5709364162005468,1.416728263582244
0,0,0,0,0,0,1,1,0,0,1.03586512248921,1.1006006326117406,0.9764018515124618
0,0,0,0,0,0,1,1,0,1,1.4265378017373298,1.5078290182876017,1.368110363906646
0,0,0,0,0,0,1,1,1,0,1.5377843419111838,1.577098192264848,1.434257225832259
0,0,0,0,0,0,1,1,1,1,1.7954521912341757,1.8479792419263343,1.6853245396165226
0,0,0,0,0,1,0,0,0,0,-0.43732739643972196,-0.6887730358431525,-0.58131641520251
0,0,0,0,0,1,0,0,0,1,0.6791938163130143,0.8294531743156802,0.6787713372460125
0,0,0,0,0,1,0,0,1,0,0.8890933954891558,1.0266618513967096,0.8287533871406229
0,0,0,0,0,1,0,0,1,1,1.337576963319419,1.4701093160128065,1.2455560992267194
0,0,0,0,0,1,0,1,0,0,0.8272221086220553,0.920988480587433,0.7452175714465128
0,0,0,0,0,1,0,1,0,1,1.2874579176094205,1.395791691797944,1.1881824506250391
0,0,0,0,0,1,0,1,1,0,1.4125221811297117,1.4907092002778053,1.264964604158594
0,0,0,0,0,1,0,1,1,1,1.7009047784299889,1.7827568760674772,1.5443929614912777
0,0,0,0,0,1,1,0,0,0,0.6003236242952684,0.7357437349774038,0.4541888957442838
0,0,0,0,0,1,1,0,0,1,1.1511647971524606,1.3266366047350406,1.1776183262263231
0,0,0,0,0,1,1,0,1,0,1.2926819919236665,1.4454335171247579,1.2960271999388937
0,0,0,0,0,1,1,0,1,1,1.607958353652794,1.7625683112646457,1.6015364113765935
0,0,0,0,0,1,1,1,0,0,1.2505035416828254,1.3833846002442165,1.2316199503480445
0,0,0,0,0,1,1,1,0,1,1.5745550524626581,1.7128061693416836,1.5572269752962102
0,0,0,0,0,1,1,1,1,0,1.6716122932918727,1.7820794433129004,1.6235734318214463
0,0,0,0,0,1,1,1,1,1,1.898595133521029,2.0105627914132285,1.8404235749574616
0,0,0,0,1,0,0,0,0,0,0.043998887053481144,0.04395875526189242,-0.11436797299985599
0,0,0,0,1,0,0,0,0,1,0.8659712515069499,1.0266777088134085,0.8787647871123593
0,0,0,0,1,0,0,0,1,0,1.0436456954382753,1.1867691630763655,1.0087669190866693
0,0,0,0,1,0,0,0,1,1,1.4359686345809703,1.577121189304482,1.3809936925497097
0,0,0,0,1,0,0,1,0,0,0.9860752885233698,1.109567182970237,0.9438288445300372
0,0,0,0,1,0,0,1,0,1,1.3900810252850677,1.5192874666028182,1.3368956470926987
0,0,0,0,1,0,0,1,1,0,1.5035961520654888,1.5964353027972347,1.4029287906079566
0,0,0,0,1,0,0,1,1,1,1.7688339402167144,1.8667261908982626,1.6597851540095276
0,0,0,0,1,0,1,0,0,0,0.7994228267636986,0.9402059543908877,0.6544628025484966
0,0,0,0,1,0,1,0,0,1,1.2690852660791314,1.4463974492624794,1.2912629683767185
0,0,0,0,1,0,1,0,1,0,1.3923810815052657,1.5506367526957336,1.4001387831040524
0,0,0,0,1,0,1,0,1,1,1.6807823842453884,1.841007260336049,1.6843421531781584
0,0,0,0,1,0,1,1,0,0,1.3573955987800028,1.4998800461248425,1.34421054415687
0,0,0,0,1,0,1,1,0,1,1.6508267982284008,1.7993082211994034,1.6464295225227357
0,0,0,0,1,0,1,1,1,0,1.739147305586845,1.8581399059734032,1.7059202964834994
0,0,0,0,1,0,1,1,1,1,1.9522139685205244,2.073433549571697,1.9117091087713871
0,0,0,0,1,1,0,0,0,0,0.5315981429938152,0.4719781966557067,0.3966285438747886
0,0,0,0,1,1,0,0,0,1,1.111540046190465,1.2507953568070855,1.1360503648251536
0,0,0,0,1,1,0,0,1,0,1.2511006865385488,1.4040796906861757,1.2588841288352033
0,0,0,0,1,1,0,0,1,1,1.5825351262869238,1.7369703926706592,1.5691984985674818
0,0,0,0,1,1,0,1,0,0,1.2081182615077508,1.348630331361052,1.2008356548785855
0,0,0,0,1,1,0,1,0,1,1.5429497176676146,1.690422050873558,1.527255277450791
0,0,0,0,1,1,0,1,1,0,1.6411668715663255,1.7694780813235567,1.5949144740300187
0,0,0,0,1,1,0,1,1,1,1.8752774155687904,2.0020016123914672,1.8148869391367202
0,0,0,0,1,1,1,0,0,0,1.0582923874584438,1.1654368338488132,0.9258959148885266
0,0,0,0,1,1,1,0,0,1,1.4387480379115944,1.6050068777709963,1.460852853297664
0,0,0,0,1,1,1,0,1,0,1.5437269811513905,1.7079011943088547,1.5643513954357886
0,0,0,0,1,1,1,0,1,1,1.796656621303547,1.965752624545281,1.816282144727413
0,0,0,0,1,1,1,1,0,0,1.5155808668335689,1.667936328496715,1.5140060314923065
0,0,0,0,1,1,1,1,0,1,1.7707643574374294,1.9303497558566969,1.7803436224025622
0,0,0,0,1,1,1,1,1,0,1.8500792125261045,1.9909342463280986,1.8391883294374824
0,0,0,0,1,1,1,1,1,1,2.0420697015774145,2.1829417353774705,2.024387027540597
0,0,0,1,0,0,0,0,0,0,0.5968161258496347,0.6979905155228,0.5293397123922922
0,0,0,1,0,0,0,0,0,1,1.157265096913457,1.286226698061796,1.1325257738941938
0,0,0,1,0,0,0,0,1,0,1.2988974751680218,1.4182839077630238,1.254164021813865
