,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.0,0.01626433443188437,0.11280323173636587,0.02637743732856725,0.02046153565871821,0.059701286224514837,0.0005453914854263436,0.02850612525742662,0.02417155026257486,0.030483371506689935,0.018158269530227786,0.008018736958112761,0.0010842998997223961,0.013842242842984099,0.16820372515469645,0.22022883505905497,0.001979016744406588,0.005118946433804412,0.008645357682232596,0.007907255075646012,0.004770689752486332,0.007184703844329951,0.023851624281491107,0.0010725576057168866,0.14242169890032358,0.0038752475971140605,0.03315050224242135,0.011172026503060638
2,0.016835528624550334,0.0,0.1272186274419915,0.013018249878099604,0.01340678996011338,0.0659905804601147,0.005125305102430026,0.029167720258320217,0.018557504211105646,0.013980569247865721,0.02244142898638678,0.00403898766742973,0.008170259567011605,0.013274777899115721,0.24590809642241138,0.156628317607004,0.00651797519994448,0.038247364098596325,0.007130465386158672,0.01689695072936195,0.0021544561596341934,0.007498251993517726,0.010676776389901065,0.0019752056720545603,0.11346034987796465,0.010298412587216288,0.023117263738007175,0.00826378483369243
3,0.023404561651055557,0.02620405635323905,0.0,0.016792369752789454,0.015349609436468528,0.08492079348554732,0.0037536867987503233,0.04091476617996089,0.022736917474161393,0.012650060655113137,0.029359369313553218,0.00403449907717764,0.006721187113499032,0.013545674904735886,0.25951880567716423,0.18600987439216685,0.005468094614364984,0.03312805645014544,0.00605077836578668,0.015185974513557916,0.002043292141371522,0.00733333602544465,0.011352527853004073,0.0015454700495035178,0.1263914674151776,0.008625116227145466,0.02824639891845879,0.008713255160657145
4,0.0330755304080058,0.016122373496881188,0.10364222262801015,0.0,0.018633886294373927,0.053473980710863116,0.0013710073342729728,0.022719547756655203,0.021158590371975053,0.03349274022789326,0.016341021540032242,0.008011776682541692,0.002314630179817258,0.015451922462284329,0.19798940982255506,0.19614581743226767,0.003537102697847003,0.010318459605809325,0.011474341955315104,0.01198541660404952,0.00494644720459172,0.00854411815301256,0.021733868771439666,0.0018405406249479648,0.13910907560553545,0.006640923114584938,0.028524346108737764,0.011400902205700105
5,0.0198963925985546,0.012690826123690026,0.07446178999236956,0.014223734532005955,0.0,0.036518719711862935,0.0034334641614382384,0.012153605508637793,0.016863117394074825,0.0622463563450955,0.010561920466618883,0.011007866073375455,0.004325215411388843,0.019442224122552445,0.22353540382442588,0.17009407736449259,0.006888011140026208,0.016741577087235494,0.024268558591024437,0.020046432299433734,0.00794472598311641,0.011930864578391598,0.025507482547344668,0.004593156002063707,0.14101917201524802,0.013202287733956186,0.023041558373927237,0.013361460017648295
6,0.022981614656704594,0.024908056297299305,0.15424576824179037,0.016110860744092258,0.014190319801344284,0.0,0.003217789628344533,0.04080958831740982,0.021540543203605253,0.010593637790522033,0.028573561780743505,0.0035362533880263424,0.005949083515513588,0.012113538007673726,0.23645121261992663,0.17427538109922974,0.0047047857880363675,0.029842782352393713,0.005009212715644046,0.01322289934578471,0.001747709059447786,0.006472418550751257,0.010168053128055058,0.0012651964844152153,0.11615792154342608,0.007364794743076007,0.026701295966645586,0.007845721230098654
7,0.0003251350771576963,0.003003430763217931,0.011866995880312037,0.000633226389019638,0.0021320081659558627,0.005189046608862436,0.0,0.0010458485790302582,0.0018069842167929492,0.033423771751750306,0.0016212392981799805,0.002164506745265549,0.1450972512957552,0.00737930733649024,0.12210910136721646,0.019049420506217902,0.051643478045926346,0.3482197296093109,0.040344272699718325,0.049036403566296974,0.0022716491669916095,0.00658721996746587,0.0027762191604279477,0.03642364165243024,0.025623904786391642,0.07506999510761457,0.0021898904785991554,0.002966321777602002
8,0.028283899138900125,0.02839370767816709,0.18751120272788252,0.017667863870291314,0.012114026633748,0.10432549649051932,0.001707342008713294,0.0,0.02253356942202751,0.004302873998807393,0.03875329703681462,0.001962327386470126,0.0039799503554151915,0.00830550168978975,0.19409544708029872,0.16627591294523172,0.002588497043137224,0.02269704362422209,0.0019622036286441533,0.007818353243586958,0.0008112681605686832,0.004040390854151283,0.006529385584604064,0.000482200403454391,0.09629215092807888,0.0038026223563723785,0.02722947581209497,0.005533989898008783
9,0.023146734711545096,0.017318042347847305,0.10535305802349751,0.015955672459447123,0.016678721543687432,0.05378639030011582,0.0029160976180615905,0.02184001793137287,0.0,0.028954592342022967,0.01688279272642743,0.006910263663607899,0.004476569982316944,0.015876991590062194,0.22689237259616374,0.1779914575628707,0.0054283709475072385,0.01961094386534748,0.011935216829910358,0.015981641609782934,0.004198787856923093,0.00909840876777922,0.017825675308659004,0.00245922712264719,0.132518802089374,0.009612776534828102,0.025557894550588,0.010792479117606715
10,0.00398306271731689,0.001556178364902773,0.007831426413072308,0.0033510189973454986,0.00867560964865714,0.0032905584188546388,0.005425094628390349,0.0004987772108702871,0.003699790569356277,0.0,0.0007021048801956227,0.03368717738826185,0.0023911148487926297,0.017146234598052184,0.085657447509814,0.05372786796692179,0.008798367937204577,0.005527876193686232,0.44120600374113733,0.021953471230915435,0.07905488234997411,0.014359553444160816,0.04341645483835552,0.04479148411791407,0.06845281326249678,0.02293034967320941,0.005822927940866399,0.012062351109276094
