Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
13060112,reviews,0.096,Electronics,Computers & Accessories,Computer Accessories & Peripherals,"Keyboards, Mice & Accessories",656.0,20.646076202392578
13060112,titles,0.146,Electronics,Computers & Accessories,Computer Accessories & Peripherals,"Keyboards, Mice & Accessories",656.0,20.646076202392578
13060114,combined,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,descriptions,0.254,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,images,0.745,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,logit,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,reviews,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,titles,0.001,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060404,combined,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,descriptions,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,images,1.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,logit,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,reviews,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,titles,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060701,combined,0.000,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,descriptions,0.016,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,images,0.003,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,logit,0.000,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,reviews,0.976,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,titles,0.004,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13110101,combined,0.023,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,descriptions,0.968,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,images,0.006,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,logit,0.000,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,titles,0.002,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13181001,combined,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,descriptions,0.051,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,images,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,logit,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,reviews,0.949,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,titles,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
14020210,combined,0.032,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020210,descriptions,0.389,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020210,images,0.322,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020210,logit,0.000,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020210,reviews,0.081,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020210,titles,0.176,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
14020605,combined,0.116,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020605,descriptions,0.097,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020605,images,0.508,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020605,logit,0.000,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020605,reviews,0.074,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020605,titles,0.204,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Coffee,1000.0,31.875690460205078
14020608,combined,0.009,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14020608,descriptions,0.073,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14020608,images,0.174,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14020608,logit,0.000,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14020608,reviews,0.099,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14020608,titles,0.644,Grocery & Gourmet Food,Beverages,"Coffee, Tea & Cocoa",Tea,427.0,15.68187427520752
14180404,combined,0.114,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
14180404,descriptions,0.148,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
14180404,images,0.243,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
14180404,logit,0.002,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
14180404,reviews,0.206,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
14180404,titles,0.288,Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Potato,448.0,13.418075561523438
