Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
13060112,reviews,0.122,Electronics,Computers & Accessories,Computer Accessories & Peripherals,"Keyboards, Mice & Accessories",656.0,20.646076202392578
13060112,titles,0.150,Electronics,Computers & Accessories,Computer Accessories & Peripherals,"Keyboards, Mice & Accessories",656.0,20.646076202392578
13060114,combined,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,descriptions,0.088,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,images,0.911,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,logit,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,reviews,0.000,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060114,titles,0.001,Electronics,Computers & Accessories,Computer Accessories & Peripherals,Memory Cards,280.0,12.26
13060404,combined,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,descriptions,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,images,1.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,logit,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,reviews,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060404,titles,0.000,Electronics,Computers & Accessories,Computers & Tablets,Tablets,593.0,149.31
13060701,combined,0.003,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,descriptions,0.040,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,images,0.004,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,logit,0.000,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,reviews,0.926,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13060701,titles,0.027,Electronics,Computers & Accessories,Monitors,Monitors,278.0,127.0
13110101,combined,0.014,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,descriptions,0.462,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,images,0.499,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,logit,0.000,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,reviews,0.000,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13110101,titles,0.025,Electronics,Headphones,Earbud Headphones,Earbud Headphones,1598.0,81.51
13181001,combined,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,descriptions,0.036,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,images,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,logit,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,reviews,0.964,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
13181001,titles,0.000,Electronics,Television & Video,Streaming Media Players,Streaming Media Players,2470.0,55.1854362487793
14020210,combined,0.032,Grocery & Gourmet Food,Beverages,"Bottled Beverages, Water & Drink Mixes",Water,507.0,10.54195785522461
