,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.0,0.09400316598897045,0.14424669168116827,0.08590317517473807,0.04376063864799911,0.056726065433253654,0.09562520415942424,0.04214020928840076,0.05510545072021448,0.07779627342804524,0.06969220456471335,0.06320868869363001,0.06482069753694612,0.05186428489115164,0.055107249791345354
2,0.046074809483287606,0.0,0.15188284558924456,0.09044383239256402,0.04607625488316968,0.05972875982598005,0.10068509116437432,0.04436339641477867,0.05802231842993501,0.08190918679430755,0.07338078943619462,0.0665554289991443,0.06825369892960334,0.05460503799509684,0.05801854966231945
3,0.04864910734064538,0.10451166998609457,0.0,0.09549925921216011,0.04865172874712933,0.06306737253370498,0.10631293054249119,0.046835276590727594,0.061265422295722814,0.0864837164748325,0.07748221096802906,0.07027580484631399,0.07205389692097582,0.0576529615302847,0.06125864201088797
4,0.04568977354499688,0.09814038099485134,0.15059720101769614,0.0,0.04568907493093879,0.05922388698696995,0.09983734338402735,0.043994937339120244,0.05753007714787494,0.08122594749870006,0.07276069691339884,0.06598943057996297,0.06763405815576244,0.05415078577848832,0.05753640572721206
5,0.043760552291560686,0.09400428260590958,0.14424852822548334,0.0859023726624362,0.0,0.05672702115973407,0.095625780102681,0.04213963189806496,0.055105822785537426,0.0777966411605237,0.06969314852636223,0.06320969028398216,0.06481597290846723,0.051864733331644375,0.055105822057613246
6,0.04433482934374308,0.09523971470399081,0.14614431766871236,0.08702914722471541,0.04433592665000365,0.0,0.09688170850366108,0.04269023502753404,0.05583011598206535,0.07881758414908625,0.07060875106709041,0.0640406175147963,0.06567354216828095,0.05254461980139891,0.0558288901949221
7,0.046155018302625965,0.0991478581780842,0.15214208226278259,0.09060348359778916,0.04615586377130593,0.059830837382064316,0.0,0.044442016375544284,0.05812100526100011,0.08205174703150668,0.073506350504255,0.06666829690482212,0.0683552649211354,0.054700458190839046,0.058119717316245705
8,0.043691173505388974,0.09384877384670451,0.14400686235540927,0.08576364533889422,0.043690667391829426,0.05663309318756762,0.09546944139717096,0.0,0.0550144731522728,0.07767728168507736,0.0695790452525937,0.06310450543249625,0.0647108125962215,0.051790008429918356,0.055020216428455594
9,0.044262263055791236,0.09508359167810161,0.1459045863651937,0.08688481356708994,0.044262756880885816,0.057377908056409146,0.09672245943619502,0.042619762383085305,0.0,0.07868673776719257,0.07049271678091575,0.06393579325960036,0.06557285002683225,0.05245720843309283,0.05573655230961597
10,0.04530283215171867,0.09731427607531258,0.1493271186908758,0.08893333163945705,0.04530337682982804,0.05872525349862477,0.09899456050349298,0.04363046211822285,0.05704569879301696,0.0,0.07214827296860543,0.06543476829449421,0.0670896578363622,0.05369912650702076,0.057051264092967686
11,0.044925113748222376,0.09650760779691843,0.14808994843681,0.08818781081234003,0.04492625348795159,0.05823748979825529,0.09817158492785327,0.043259116000999895,0.056573336154096265,0.07986680226664222,0.0,0.06489321644310124,0.06654582578901676,0.05324418400978754,0.05657171032800519
12,0.04462758542732364,0.09587015406226762,0.1471116632237259,0.08760197319643054,0.04462876115135108,0.05785250113690381,0.09752217596518199,0.042971193531458854,0.05619979985464629,0.07933684933618207,0.07107579061341165,0.0,0.0661149682916458,0.05289041756876659,0.05619616664070401
13,0.04470154857348183,0.0960408575122945,0.14736551717704968,0.08771996374064685,0.044696860597205755,0.057950972278185096,0.09768277724599479,0.04303878475606557,0.05630206288937673,0.07946218201829677,0.07119696581792714,0.06458203949550298,0.0,0.052971395879685704,0.056288072018285694
14,0.0441182716621636,0.09476956237376709,0.14542149319135556,0.08660604463119247,0.04411882454225556,0.05718938569770069,0.09640544964526244,0.04249289097339331,0.05555414500946908,0.0784388297690654,0.07026152080564661,0.0637237792315572,0.06534071184604093,0.0,0.05555909062113044
15,0.044264414570051,0.09508070764800813,0.14589984488847146,0.08689132236991794,0.04426305654714738,0.05737706545565277,0.09672187396972155,0.04262594500136372,0.055736922280066145,0.0786925313384682,0.07049159145525762,0.06393263667845907,0.06555956511144335,0.05246252268597174,0.0
