"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.022, -4.316, -4.687, 5.142, -1.038, -8.436, 14.595, -42.234, -7.055, -14.487, 4.574, 3.34, -0.557, -0.644, 1.369",-1914.27403872159,1,3858.54807744319
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.022, -1.124, -0.988, -0.781, -1.232, -0.852, -0.578, 0.04, -1.253, -0.63, -0.949, -0.973, -0.461, -0.924, -1.266",-1914.27403872159,1,3858.54807744319
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.022, -4.318, -4.691, 5.141, -1.042, -8.444, 14.612, -42.228, -7.063, -14.488, 4.582, 3.335, -0.557, -0.644, 1.369, 0.01",-1914.26792177365,0.91193,3860.5358435473
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","0.016, 21.18, 20.844, 10.131, 20.295, 29.179, -83.213, -18.789, 24.616, 19.844, -10.283, 15.713, 1.466, -1.48, -1.479, 0.012, 3.039",-1913.69094281743,0.55817,3861.38188563487
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","0.127, 55.997, 56.595, 0.756, 37.398, 71.115, -243.263, 46.397, 63.216, 76.457, -16.525, 5.069, 3.364, 1.229, -5.19, 0.705, 2.277, 9.561",-1904.52656400216,0.00022,3845.05312800432
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.036, -16.844, -26.226, -13.926, -31.085, -42.212, 57.255, 30.885, -44.602, -3.997, 21.827, -30.865, -4.369, 2.356, -0.025, 0.101, 6.287",-1913.1204040235,0.31549,3860.24080804701
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","0.064, -11.91, -25.21, -21.697, -35.355, -42.083, 23.464, 62.275, -49.244, 15.091, 21.472, -43.562, -5.679, 3.096, -1.864, -0.002, 9.418, -2.077",-1911.60807164323,0.14904,3859.21614328647
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","0.127, 55.997, 56.595, 0.756, 37.398, 71.115, -243.263, 46.397, 63.216, 76.457, -16.525, 5.069, 3.364, 1.229, -5.19, 0, 0.705, 2.277, 9.561",-1904.52656400216,0.00063,3847.05312800432
