"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.022, 6.573, 6.849, 5.805, 6.519, 4.618, 4.817, 8.131, 9.741, 8.329, 6.609, 11.338, -0.125, -0.601, 0.135",-1914.27403872159,1,3858.54807744319
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.022, -1.124, -0.988, -0.781, -1.232, -0.852, -0.578, 0.04, -1.253, -0.63, -0.949, -0.973, -0.461, -0.924, -1.266",-1914.27403872159,1,3858.54807744319
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","0.008, -46.819, -98.856, -130.435, -45.791, -137.707, 15.437, -264.607, -1434.604, -164.16, -163.967, -276.517, 20.658, 48.079, 42.107, 16.512",-1913.08636615365,0.12326,3858.1727323073
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.077, -185.421, -208.788, -152.734, -188.367, -134.836, -84.961, -227.441, -951.929, -274.74, -173.76, -594.88, 1.418, 34.978, 3.157, 0.477, 25.751",-1912.21821344846,0.12799,3858.43642689691
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.036, -101.984, -114.668, -83.183, -103.788, -74.453, -45.589, -125.151, -539.734, -151.06, -94.567, -331.952, 0.768, 19.34, 1.869, -0.372, -14.185, 1.387",-1907.75527233655,0.00456,3851.51054467309
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.034, -1.959, -9.005, -14.076, -2.053, -15.634, 5.581, -30.606, -193.642, -16.407, -17.531, -29.746, 2.648, 6.228, 6.022, 0.218, 2.324",-1911.01584545872,0.03846,3856.03169091743
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.017, -13.053, -24.885, -27.273, -13.442, -27.069, 3.151, -61.991, -355.095, -44.807, -40.2, -98.631, 5.001, 12.033, 8.435, 0.401, 4.598, 3.249",-1908.15137285155,0.00659,3852.3027457031
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.051, -2.177, -7.106, -8.303, -2.751, -9.606, 4.218, -21.638, -143.84, -13.398, -12.893, -31.989, 2.228, 4.715, 3.814, -0.48, 1.864, 1.081, 0.108",-1906.7859229703,0.00475,3851.57184594061
