asin,0,1,2,3,4,5,6,7,8,9
B098MHBF23,-0.8007277411467125,5.1187876086474675e-17,-1.9798599816226252,4.7140452079103135,2.665895524459224e-16,1.7935348659853583,-3.3836751738431874e-17,-5.455428046879307e-17,-2.413277278631218e-16,8.230269816165673e-16
B09H7Q4B74,-0.5166386150882726,-9.058967029936238e-16,-0.7958906484549464,-1.8974607598350974e-15,-1.0978084780962119e-15,-1.7287369684224703,1.8695584410103292,-0.6742408879837077,-2.0936770987789153,8.230269816165676e-16
B09T66MSLN,-0.800727741146713,1.3730724450751055e-15,-1.9798599816226299,-2.357022603955157,-4.082482904638621,1.7935348659853596,-1.473431138905487e-15,-9.875514494905091e-17,2.4829213249011402e-15,8.230269816165682e-16
B09TWSRMCB,-0.5166386150882758,-5.677049509912874e-16,-0.7958906484549414,2.6094830363763783e-15,-1.2293986962614665e-15,-1.7287369684224783,1.4451926499009815,0.576978650477004,2.43142903965944,8.230269816165691e-16
B09WQ218GR,-0.800727741146716,6.821726000063655e-15,-1.9798599816226194,-2.357022603955154,4.082482904638629,1.793534865985359,7.088035332687713e-16,4.016856545850533e-16,2.1981072030313012e-15,8.230269816165676e-16
B09WRJJKXC,-1.7789197171519873,5.270462766947298,4.060393179774977,3.22721897808632e-15,-4.014364860597276e-15,0.5904674974668349,3.7984729272851426e-16,-1.8459242281677076e-16,-5.689512950322992e-16,8.230269816165681e-16
B0B1XQTZ1R,-0.5166386150882747,-6.999646839378749e-16,-0.7958906484549427,4.0608829156187904e-16,2.5525088551303758e-15,-1.7287369684224732,-1.7867841117900434,-2.222808513016925,0.4470550141173732,8.230269816165679e-16
B0BCQZP4SX,8.026577118097228,-2.635768874765251e-15,1.0023561791377043,-9.659155753247397e-16,6.634924216892906e-16,0.35340828080014597,1.979789214866034e-16,-1.7424265789121379e-16,7.470727610024274e-17,8.230269816165672e-16
B0BFFJRB2S,-1.7789197171519924,-5.270462766947299,4.060393179774972,-7.789532852127697e-16,-2.1141789659504186e-15,0.5904674974668386,1.573970476020338e-16,2.418349155205737e-16,-2.262583227267944e-15,8.230269816165678e-16
B0BWNW9G8X,-0.5166386150882742,-1.0471147033555366e-16,-0.7958906484549448,-6.154856355793888e-16,1.0965398304631786e-15,-1.7287369684224727,-1.52796697912127,2.320070750523627,-0.7848069549979045,8.230269816165675e-16
