"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.085, -145.18, -3.655, 18.791, -1.944, 14.045, -0.489, 1.907, -1.717, 0.312, -0.093, -0.923, -2.619, 0.289, -0.124",-2307.89462721666,1,4645.78925443332
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.085, -0.224, -0.954, -1.024, -0.058, 0.056, 1.066, -1.24, -0.07, -0.408, -0.814, -0.462, -0.797, 0.181, 0.04",-2307.89462721666,1,4645.78925443332
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.085, -145.184, -3.655, 18.791, -1.944, 14.045, -0.489, 1.907, -1.717, 0.312, -0.093, -0.923, -2.619, 0.289, -0.124, 0",-2307.89460015506,0.99413,4647.78920031012
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.084, -145.245, -3.644, 18.693, -1.933, 13.917, -0.458, 1.913, -1.709, 0.319, -0.087, -0.917, -2.62, 0.285, -0.124, -0.001, 0.016",-2307.81918933631,0.92734,4649.63837867263
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.106, -383.1, -7.427, 1.857, -4.51, -5.169, -1.749, 4.879, -2.93, 3.136, 2.731, -0.154, -6.756, 0.084, 0.448, 0.071, 0.004, -0.602",-2306.77911617398,0.52586,4649.55823234797
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.085, -144.136, -3.625, 18.486, -1.923, 13.823, -0.472, 1.859, -1.697, 0.305, -0.101, -0.916, -2.587, 0.285, -0.121, 0.002, -0.024",-2307.77441528015,0.88673,4649.54883056031
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.085, -144.174, -3.625, 18.486, -1.922, 13.817, -0.469, 1.862, -1.697, 0.306, -0.1, -0.915, -2.588, 0.285, -0.122, 0.002, -0.023, 0.005",-2307.75964417846,0.96557,4651.51928835691
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.106, -383.1, -7.427, 1.857, -4.51, -5.169, -1.749, 4.879, -2.93, 3.136, 2.731, -0.154, -6.756, 0.084, 0.448, 0, 0.071, 0.004, -0.602",-2306.77911617398,0.69335,4651.55823234797
