"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.022, -26.575, -27.908, -14.422, -27.407, -1.171, -5.977, -19.008, -12.656, -13.689, -11.526, -20.378, -1.059, 0.537, -0.059",-1914.27403872159,1,3858.54807744319
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.022, -1.124, -0.988, -0.781, -1.232, -0.852, -0.578, 0.04, -1.253, -0.63, -0.949, -0.973, -0.461, -0.924, -1.266",-1914.27403872159,1,3858.54807744319
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.022, -26.573, -27.908, -14.42, -27.405, -1.17, -5.976, -19.005, -12.654, -13.687, -11.524, -20.375, -1.058, 0.537, -0.059, -0.004",-1914.27292737503,0.9624,3860.54585475006
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.143, 137.536, 99.296, 109.728, 140.227, 8.066, 48.034, 261.286, 157.606, 223.969, 215.18, 225.008, 6.653, -3.062, 5.011, 11.486, 5.574",-1911.62846327644,0.07096,3857.25692655289
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.124, 116.776, 88.916, 85.396, 119.195, 6.237, 36.893, 209.551, 127.01, 179.312, 171.348, 180.802, 5.409, -2.421, 3.961, 8.742, 4.293, -0.598",-1908.60529517385,0.01003,3853.21059034769
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.026, -26.067, -27.393, -14.105, -26.902, -0.878, -5.823, -18.504, -12.247, -13.23, -11.111, -19.879, -1.037, 0.536, -0.054, -0.03, 0.026",-1914.10861863875,0.84754,3862.2172372775
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.013, 294.954, 301.938, 129.577, 301.729, 10.376, 49.166, 272.395, 178.776, 218.349, 197.192, 248.871, 12.2, -2.14, 3.432, 0.584, -2.254, 4.645",-1906.475655388,0.00137,3848.951310776
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.047, 487.266, 500.506, 212.743, 498.543, 16.5, 80.698, 443.011, 289.67, 353.558, 318.355, 406.262, 20.096, -3.565, 5.446, 0.93, -3.322, 7.377, 0.137",-1906.11030245147,0.00261,3850.22060490295
