,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,0.12216147249815214,0.17045270463193066,0.06818238105133363,0.06534404723073461,0.05113823400265772,0.06817394599640003,0.07955849606495334,0.10795271937619896,0.05397325887857336,0.05967894759234468,0.053977887151051944,0.04826683947839319,0.05113906604727421
2,0.049233254346190136,0.0,0.18463556505618103,0.07385625551301636,0.07077921807119582,0.05536646189953136,0.07384930635557961,0.08614519953735918,0.11694216735728018,0.05845334787777865,0.06461051074287269,0.05844133372662648,0.05230296232987467,0.05538441718651332
3,0.05194636902953402,0.13963610895951023,0.0,0.07793901028053883,0.07469157965787328,0.0583997770263613,0.07791834447498638,0.09089945060218729,0.12341164474447906,0.061676539106971254,0.06818473356060889,0.06168337263713009,0.05518276716457508,0.058430302755244336
4,0.046511601790661175,0.12500798299850632,0.17442939347500905,0.0,0.0668649246004159,0.05231848987303311,0.0697654423537284,0.08138946841585377,0.11047495080620183,0.05522593583845894,0.06103619421235836,0.05522367357327289,0.049424359096318156,0.052327582966181396
5,0.04637929446169519,0.12464505120726263,0.17392261666558034,0.06956937720891507,0.0,0.05216665609219939,0.06956867254037152,0.0811622260019205,0.11015341564695343,0.055069232414859684,0.06086392336840676,0.0550547849148631,0.04927014709251098,0.05217460238446121
6,0.045719255994188336,0.12285031415265148,0.17140700139101311,0.06857004354585178,0.0657126955899316,0.0,0.06859061366469985,0.07999684080089817,0.10855750860444635,0.054312317434324,0.05998594169749576,0.05426668617326863,0.04857574987532489,0.05145503107590583
7,0.04650863131464394,0.1250178161818091,0.17443442368659035,0.06977446063588189,0.06687277037090318,0.05234561632416626,0.0,0.0814626945742096,0.11047235625807321,0.05528044905168003,0.06097454701999982,0.055081805431622444,0.049420595891616244,0.05235383325880467
8,0.04707946768106387,0.12648142322216752,0.17648799700545717,0.07059394268151353,0.06766118818811875,0.05293933645904442,0.07065670996175885,0.0,0.11176255436276654,0.05591450389322092,0.06171501531002749,0.055753197809015276,0.05000139740569169,0.052953266020153586
9,0.048482188155768144,0.13032101007233618,0.18184562756827524,0.07273858913360401,0.06970734935086145,0.0545205987475635,0.07272058089615396,0.08482721220692743,0.0,0.05755923061318012,0.06363555556084008,0.057578189096585845,0.05151788957968623,0.054545979018217824
10,0.04584393687768964,0.12321007595548421,0.1719206606735886,0.06876639316781294,0.06590432667887877,0.05160207726264399,0.06881259831804777,0.08025742750013647,0.10887490717567365,0.0,0.060128413807860555,0.05437212477309359,0.04872004578406197,0.05158701202502767
11,0.04613757866867771,0.12393593594053966,0.1729411534677473,0.0691660645929746,0.06628860356648178,0.05186388285322607,0.06909777711096474,0.08064772402787997,0.10952802411943338,0.05471606468128479,0.0,0.054921777077954696,0.04890992345153013,0.05184549044130538
12,0.04586241199226686,0.12323770226486483,0.17197920576700113,0.06878503166163076,0.06591034263701859,0.05157313385709483,0.06864084533179678,0.08012681060305352,0.10892553526331694,0.05438866892391241,0.06034743367283977,0.0,0.04868308094293887,0.05153979708226468
13,0.04556329986886098,0.12252353745462381,0.170958627550845,0.06839330870481888,0.0655336396464095,0.05129050787352599,0.06838291194609741,0.07977969490906456,0.10828291288737428,0.054145729908801656,0.059753500763942285,0.054095655543261366,0.0,0.051296672942374555
14,0.04571834290297676,0.12286067643958747,0.17142388078524287,0.06857601343952485,0.06571768313900786,0.051453094838244444,0.06859493148180333,0.08000617100296001,0.10857561474281764,0.054295155889140016,0.0599665277368015,0.05423236696504228,0.048579540636851444,0.0
