"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.085, -0.54, 0.287, -0.354, -0.625, 0.926, 0.634, -1.07, -0.927, -0.79, -1.196, -0.357, -0.054, 0.063, -0.001",-2307.89462721666,1,4645.78925443332
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.085, -0.224, -0.954, -1.024, -0.058, 0.056, 1.066, -1.24, -0.07, -0.408, -0.814, -0.462, -0.797, 0.181, 0.04",-2307.89462721666,1,4645.78925443332
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.085, -0.541, 0.288, -0.356, -0.626, 0.923, 0.633, -1.073, -0.929, -0.792, -1.198, -0.357, -0.054, 0.063, -0.001, 0.005",-2307.89252587773,0.94831,4647.78505175547
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.087, -0.653, 0.106, -0.418, -0.82, 0.877, 0.631, -1.452, -1.731, -1.423, -1.828, -0.358, -0.054, 0.089, 0.002, -0.011, 0.084",-2307.72697701212,0.84565,4649.45395402425
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.125, -2.615, -7.231, -2.568, -7.78, 0.85, 2.791, -18.75, -27.974, -21.215, -21.61, 2.176, -0.056, 0.909, 0.386, -0.067, 1.553, -0.593",-2305.79206811807,0.24015,4647.58413623615
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.098, -1.206, 0.373, -2.931, -1.831, -2.791, -0.719, -4.832, -3.172, -3.353, -3.759, -0.391, -0.033, 0.215, 0.023, 0.014, -0.319",-2307.66863550872,0.79772,4649.33727101745
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.105, -7.908, -8.428, -1.681, -13.227, 0.493, 0.915, -21.739, -41.172, -33.095, -33.492, -0.11, -0.073, 1.462, 0.14, 0.009, 0.003, 1.792",-2307.28034750414,0.74616,4650.56069500829
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.732, -78.888, -99.218, -27.618, -157.712, -1.11, 19.441, -295.905, -506.037, -394.638, -395.031, 20.708, -0.509, 17.804, 4.069, 0.229, 0.984, 23.855, -4.413",-2302.71435876164,0.03477,4643.42871752328
