"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.085, -0.075, -0.787, -0.763, -1.113, 0.281, 0.255, -1.03, 0.272, -0.437, -0.835, -0.312, 0.016, 0.006, -0.021",-2307.89462721666,1,4645.78925443332
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.085, -0.224, -0.954, -1.024, -0.058, 0.056, 1.066, -1.24, -0.07, -0.408, -0.814, -0.462, -0.797, 0.181, 0.04",-2307.89462721666,1,4645.78925443332
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.085, -0.075, -0.787, -0.763, -1.113, 0.281, 0.255, -1.03, 0.272, -0.437, -0.835, -0.312, 0.016, 0.006, -0.021, 0",-2307.89451722804,0.98817,4647.78903445609
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.087, -0.303, -0.847, -1.071, -1.461, 0.114, 0.03, -1.316, 0.028, -0.654, -1.17, -0.198, 0.011, 0.034, -0.02, 0.001, 0.033",-2307.35981725211,0.58578,4648.71963450423
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.138, -2.315, 0.382, -4.002, -22.209, 0.312, -8.806, -3.715, -1.513, -7.506, -9.199, 2.529, -0.123, 0.666, -0.406, -0.109, -0.416, 0.451",-2305.34223365254,0.16428,4646.68446730508
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.085, -0.112, -0.822, -0.805, -1.118, 0.244, 0.257, -1.063, 0.214, -0.478, -0.87, -0.339, 0.014, 0.006, -0.022, 0.001, 0.012",-2307.82517203315,0.9329,4649.65034406629
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.087, -0.303, -0.847, -1.071, -1.461, 0.114, 0.03, -1.316, 0.028, -0.654, -1.17, -0.198, 0.011, 0.034, -0.02, 0, 0.001, 0.033",-2307.35981725211,0.78441,4650.71963450423
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.138, -2.315, 0.382, -4.002, -22.209, 0.312, -8.806, -3.715, -1.513, -7.506, -9.199, 2.529, -0.123, 0.666, -0.406, 0, -0.109, -0.416, 0.451",-2305.34223365254,0.27671,4648.68446730508
