"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3","-0.085, 0.365, 0.14, -0.004, -1.34, 1.149, 25.387, -0.22, 37.475, 0.508, 0.102, -0.688, -0.149, 0.413, 0.022",-2307.89462721666,1,4645.78925443332
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12, dummy13, dummy14","-0.085, -0.224, -0.954, -1.024, -0.058, 0.056, 1.066, -1.24, -0.07, -0.408, -0.814, -0.462, -0.797, 0.181, 0.04",-2307.89462721666,1,4645.78925443332
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1","-0.093, 0.366, 0.102, -0.057, -1.299, 1.133, 23.988, -0.245, 36.858, 0.537, 0.13, -0.631, -0.161, 0.41, 0.022, -0.023",-2307.00621620688,0.18254,4646.01243241377
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.093, 0.366, 0.102, -0.056, -1.299, 1.134, 23.993, -0.245, 36.861, 0.537, 0.13, -0.631, -0.16, 0.41, 0.022, -0.023, -0.001",-2307.00182176643,0.40951,4648.00364353285
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.096, 0.36, 0.089, -0.076, -1.311, 1.12, 22.56, -0.253, 35.688, 0.536, 0.129, -0.593, -0.16, 0.392, 0.036, -0.026, -0.002, 0.021",-2306.76927215444,0.52203,4649.53854430889
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1","-0.093, 0.366, 0.102, -0.057, -1.299, 1.133, 23.988, -0.245, 36.858, 0.537, 0.13, -0.631, -0.161, 0.41, 0.022, 0, -0.023",-2307.00621620688,0.41131,4648.01243241377
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.093, 0.366, 0.102, -0.056, -1.299, 1.134, 23.993, -0.245, 36.861, 0.537, 0.13, -0.631, -0.16, 0.41, 0.022, 0, -0.023, -0.001",-2307.00182176643,0.61807,4650.00364353285
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.09, 0.382, 0.143, -0.124, -2.533, 1.008, -33.032, -0.19, -99.015, 0.201, -0.205, -0.738, 0.047, 0.239, 0.145, -0.007, -1.015, -0.428, 0.08",-2305.3823223267,0.28478,4648.76464465341
