"Model","Covariates","Coefficients","In_Sample_ll","LR_test_P_val","AIC"
"logit(3PCs+FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3","-0.033, -1.925, -5.958, -4.635, -6.411, 1.973, 1.999, -3.986, -3.199, 0.817, 0.047, -0.041, 0.144",-4511.86787230382,1,9049.73574460764
"logit(FEs)","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, dummy10, dummy11, dummy12","-0.033, 0.071, -1.131, -1.479, 0.086, 1.611, 2.018, -0.34, 1.827, 0.509, -0.71, -0.562, 0.55",-4511.86787230382,1,9049.73574460764
"PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.PC1","-0.034, -2.728, -7.927, -5.868, -7.47, 1.925, 1.932, -5.342, -3.822, 1.211, 0.046, -0.043, 0.169, -0.051",-4510.3069711218,0.07725,9048.6139422436
"PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.PC1, sd.PC2","-0.034, -2.753, -7.99, -5.909, -7.534, 1.932, 1.926, -5.388, -3.872, 1.199, 0.047, -0.043, 0.17, -0.051, -0.007",-4510.23749637529,0.19586,9050.47499275058
"PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.PC1, sd.PC2, sd.PC3","-0.166, -14.735, -137.788, -49.601, -395.626, 2.979, -15.326, -80.274, -245.089, -2.726, 0.287, -0.245, 5.006, 0.161, -0.192, -3.103",-4484.09300121781,0,9000.18600243562
"price, PC1","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.price, sd.PC1","-0.042, -2.949, -8.948, -6.342, -9.033, 1.949, 1.968, -5.996, -5.136, 1.409, 0.048, -0.049, 0.199, -0.021, 0.057",-4506.64076931651,0.00537,9043.28153863303
"price, PC1, PC2","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2","-0.071, -10.997, -30.506, -20.229, -35.18, 6.053, 0.125, -21.731, -26.352, -4.129, 0.363, 0.052, 0.824, 0.061, -0.001, -0.444",-4493.59949522458,0,9019.19899044916
"price, PC1, PC2, PC3","price, dummy1, dummy2, dummy3, dummy4, dummy5, dummy6, dummy7, dummy8, dummy9, PC1, PC2, PC3, sd.price, sd.PC1, sd.PC2, sd.PC3","-0.166, -14.735, -137.788, -49.601, -395.626, 2.979, -15.326, -80.274, -245.089, -2.726, 0.287, -0.245, 5.006, 0, 0.161, -0.192, -3.103",-4484.09300121781,0,9002.18600243562
