asin,0,1,2
B098MHBF23,-4.181023719267323,-1.9370319901882227,0.3099806846322726
B09H7Q4B74,-8.147836331262383,52.073665442569016,-1.1286256250762017
B09T66MSLN,-4.774639797404816,-5.056483910634121,-1.6927478967265361
B09TWSRMCB,-8.674635060602277,-11.9691040173516,42.86558690796499
B09WQ218GR,-4.60797444720438,-4.053056710978125,-0.5159345092664686
B09WRJJKXC,-6.653135747522299,-6.82259815863485,-5.593601013541667
B0B1XQTZ1R,-3.5973796537402514,-2.4806475502169967,0.6606892935570631
B0BCQZP4SX,-8.55960826515981,-4.587515017845131,-1.8727183884866214
B0BFFJRB2S,-9.316208355669412,-15.678194396499261,-32.957100857434774
B0BWNW9G8X,58.51244137783224,0.5109663097787327,-0.07552859562196217
