,1,2,3,4,5,6,7,8,9,10
1,0.0,0.07480289361487437,0.22437427188398978,0.07480697817010987,0.07874867828960748,0.07087979565467595,0.0630012617576508,0.0630051622475379,0.20075335633489597,0.14962760204665784
2,0.10984937740150327,0.0,0.21574218810950502,0.07197589956930905,0.07574105897461314,0.06819410076199084,0.0607294702762013,0.0607331095444122,0.19306363064143234,0.14397116472103286
3,0.12843658089871623,0.08395365238425795,0.0,0.08427103331589435,0.08870671445464656,0.07980541394448523,0.07024091665287961,0.0702488786187049,0.2259841564549945,0.16835265327542095
4,0.10985955396296636,0.07198053935449478,0.21600188263136602,0.0,0.07578876153859002,0.06821153573228705,0.06054469498691637,0.06054219272141597,0.19310064849088998,0.14397019058107327
5,0.11028087298981061,0.07223030645277849,0.21682433125048636,0.07227395582114816,0.0,0.06847619715268953,0.06072898132184231,0.06073529300539806,0.19393458548475506,0.14451547652109178
6,0.10944718052776883,0.07170971633271236,0.21514209178786514,0.07172276746840618,0.07550263743911105,0.0,0.06034290023184362,0.06035411428461012,0.1923395265474867,0.14343906538019582
7,0.10866735675573298,0.07131428518368173,0.21307897095229628,0.07112593467002089,0.07482792455276052,0.06740970819255074,0.0,0.060391216227417735,0.1907732466043856,0.1424113568611547
8,0.10866915093269068,0.07131644655921517,0.21307259732384207,0.07112080823848735,0.07483209726336186,0.06741963004575188,0.06038992886648153,0.0,0.19074761236615606,0.14243172840401358
9,0.12515482740170555,0.08185975109855831,0.24612428645537612,0.08189737929556881,0.08635045440305711,0.07755137319333882,0.06864588135173218,0.06862225565944138,0.0,0.1637937911412222
10,0.11838772073379261,0.07758341726517774,0.23264352346990205,0.07757213458667073,0.08165300409740668,0.0735162963668262,0.06533790740578599,0.06536461943242836,0.20794137664200948,0.0
