,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.0,0.12488178687763318,0.036503975940473096,0.025944727865100145,0.03936168685301792,0.029602894974004566,0.06502044285624728,0.1547878574867203,0.054374537820382915,0.046690485724613665,0.05761398607044241,0.0818222897338142,0.05267609919706179,0.008943401089120992,0.09081662533600639,0.08536675506824269,0.005367711170455735,0.01873601709813474,0.013237219551137831,0.0037429041880382447,0.004508595099351949
2,0.024487979111279777,0.0,0.08169867305138166,0.01260464381456766,0.05267350130651748,0.039877504600821026,0.13835900767489573,0.3343652570438287,0.02099537631834332,0.019547282502817804,0.06585865884225814,0.039826044260165776,0.042379274596468106,0.012225443212706516,0.022279537703938104,0.021615204987337776,0.007690436540979397,0.024482153532884954,0.03066150178689853,0.0034555935729024454,0.004916925539007766
3,0.019683449754132294,0.21249098802699634,0.0,0.010074971002515202,0.04381238427077389,0.034527296127705394,0.1171448887832941,0.29676529864214707,0.016556435456660804,0.015316874593368003,0.05474980517954406,0.034891390053260765,0.035859153423917274,0.009933978489577314,0.01898236221430191,0.019633189495932398,0.008673088872368121,0.018820851297821725,0.025550693977751535,0.0026674343523330124,0.003865465985597788
4,0.023956036945412287,0.06193206223524769,0.01731571649147667,0.0,0.033341271223424646,0.021050462615082175,0.028256260414894308,0.06883294611653808,0.08369238681777671,0.06543365915019987,0.1264627751457979,0.16221934490018794,0.05348853201215923,0.1173460128221419,0.02026359090170145,0.009213003017916556,1.0834350866067413e-05,0.03103170170034901,0.01570122534916439,0.023319149788145446,0.03713302800151787
5,0.022496848434256245,0.15078925450219413,0.04640020141495585,0.020765538383865485,0.0,0.03686343648728025,0.08019104719836682,0.2156197223652774,0.03317695978869263,0.02869761025648712,0.09425281348116522,0.08258242876837822,0.052754273860487394,0.025363456869379315,0.022831724658965012,0.01919443022053053,0.0017614288863317795,0.02517991625735472,0.026399428182306634,0.0058182393915755205,0.008861240592149482
6,0.02152885573307744,0.14595863198549022,0.046346865296089355,0.016595894200569585,0.046700060214559046,0.0,0.08369994423451166,0.24761822026489574,0.026121826517017777,0.0224981931137523,0.08327981972827313,0.08400445521634038,0.05209346944837098,0.016422731639917674,0.02509045720431786,0.025395375239421057,0.0035955220132711145,0.019053937400160963,0.024900445306183194,0.003575298703603751,0.005519996540176923
7,0.020782798198213256,0.21821153344121522,0.07060831339378523,0.009565584534124092,0.04506008877688465,0.03718151592114494,0.0,0.32787268580424483,0.015697546615489583,0.0144854286812616,0.05364327364277234,0.03700590410024747,0.03746093115609053,0.008223909249815144,0.021258162318123552,0.02363664041630145,0.011106076280137893,0.017155933519419988,0.025691442097837806,0.002184331246413312,0.0031679006064766566
8,0.021954794525754596,0.2648673686958297,0.08953876201877851,0.009553269948076619,0.057621223518232755,0.05472935429206729,0.1670707707932655,0.0,0.015070434129207071,0.013751721868491633,0.06362472797389625,0.05229641121545643,0.0496075145302279,0.006862560382373763,0.027202457059433742,0.03573842858277796,0.017532052062024926,0.015878580602309813,0.0330312855259723,0.0016260352035563966,0.002442247072266697
9,0.033087254693426216,0.06633374688219719,0.018333420195560255,0.055649400406778494,0.0346098693634021,0.021443288631911778,0.029833362599123132,0.0698587652000643,0.0,0.07661289350670984,0.12350552692549982,0.16152870681020895,0.055983429870196035,0.10542062414156045,0.026643413527782742,0.012237411541594606,1.8067217899489188e-05,0.03304105069717568,0.015216704469011013,0.024146387199600827,0.036496676120297125
10,0.033896669040878666,0.07431763790314522,0.02058902755706046,0.051944516311232425,0.03620297471585814,0.02236857481462406,0.03336506684714338,0.07683967327631697,0.09136001462825177,0.0,0.11993797044083039,0.14455070268521059,0.05546073101294125,0.09351595613126773,0.02683044669978216,0.012713217727183354,2.8462179395386522e-05,0.03409287767061357,0.016146486843039223,0.022425775613877853,0.03341321790134784
11,0.01599958149135538,0.0969857508404617,0.028636693931291004,0.039563414516455786,0.04698192155911735,0.03273898927706058,0.0478540405522956,0.13070706530162568,0.0586805645412607,0.04726566929767327,0.0,0.1659707594967545,0.06444312051424145,0.09499707209286427,0.015770548415275632,0.008661938744193309,5.481526586487618e-05,0.03417084069864414,0.02690612342573661,0.016201705157520774,0.027409384880307322
12,0.023583908063321262,0.0577519125019631,0.017311877861430004,0.05618955735667585,0.041433122722478156,0.033886585883266804,0.031770608560291944,0.10627805688192712,0.08384278931655606,0.06124575813553787,0.18028568569402842,0.0,0.08574673485142498,0.09041983590987297,0.03142216895167907,0.021178544597507596,7.437108691060184e-05,0.022720823006369763,0.01867395151429484,0.013140076192824026,0.02304363091163931
13,0.026402971504219018,0.10997793172731578,0.03338222297469112,0.029222809967016324,0.04627723555701087,0.036086173843565925,0.05908242599004999,0.16975586610870755,0.04679203132384696,0.03847956799991873,0.11291825109875395,0.13816442066267914,0.0,0.034807471072702205,0.02901512936537855,0.02317786984052358,0.0007677719196854661,0.02425672891980571,0.02276031712000813,0.0072971213286628185,0.0113756816754585
14,0.0007643244892533572,0.0061413662114531255,0.0016506754060953328,0.015010621295960532,0.004252345243636393,0.002129021677628646,0.0023723351394956266,0.005286695494746202,0.019837332439612276,0.01413606130938277,0.03903301935112334,0.038642829398335674,0.007013995073850818,0.0,0.0005231511634563351,9.213095375737587e-05,5.130731028799418e-15,0.009112244613323188,0.003027957355807226,0.14617547502998388,0.6847984183530923
