asin,0,1,2
B098MHBF23,-1.944057273030724,-7.384078091610041,-28.10743468953287
B09H7Q4B74,-0.21768982375192264,-5.2975386410296235,-1.2506728092536699
B09T66MSLN,-31.836204039836147,36.48959597296234,1.8921383398483524
B09TWSRMCB,-1.3194974923665372,-9.780331859544074,-2.8783856237356344
B09WQ218GR,40.78667234306338,26.554539876168235,1.8141584637814339
B09WRJJKXC,-1.1036188767566228,-7.622635832652845,-1.9518337204226064
B0B1XQTZ1R,-0.5697512197129447,-5.510066829047943,-0.5992529268326695
B0BCQZP4SX,-0.5346131761683567,-8.47154648364345,-1.3251557949604358
B0BFFJRB2S,-0.9631499554083266,-7.107717553295086,-0.8979812314392709
B0BWNW9G8X,-2.2980904860315747,-11.870220558307848,33.30441999254641
