asin,0,1,2
B098MHBF23,-0.8007277411467101,-1.0039234359860576e-17,-1.9798599816226214
B09H7Q4B74,-0.5166386150882735,-3.812325754734604e-15,-0.795890648454949
B09T66MSLN,-0.8007277411467091,-4.048292121123103e-15,-1.9798599816226257
B09TWSRMCB,-0.5166386150882757,-6.694855670021645e-15,-0.7958906484549424
B09WQ218GR,-0.8007277411467133,4.320106887309083e-15,-1.9798599816226194
B09WRJJKXC,-1.778919717151989,5.270462766947299,4.060393179774969
B0B1XQTZ1R,-0.5166386150882749,5.493942607591422e-15,-0.7958906484549447
B0BCQZP4SX,8.026577118097222,-2.518524408977949e-15,1.0023561791377071
B0BFFJRB2S,-1.7789197171519942,-5.270462766947295,4.060393179774971
B0BWNW9G8X,-0.5166386150882759,4.8257059363660854e-15,-0.7958906484549435
