asin,0,1,2
B098MHBF23,-18.443865,13.226399,10.36915
B09H7Q4B74,-1.5297087,-29.123379,-12.053314
B09T66MSLN,-19.574905,12.587087,11.201205
B09TWSRMCB,31.111982,-22.852716,31.653866
B09WQ218GR,-16.886246,18.10375,15.611849
B09WRJJKXC,0.17320065,-1.1450827,-2.2852683
B0B1XQTZ1R,-12.330541,-4.9971337,-17.261122
B0BCQZP4SX,2.0112712,-6.3146195,3.7036593
B0BFFJRB2S,41.392715,32.447334,-16.728498
B0BWNW9G8X,-5.9239616,-11.931644,-24.211542
