asin,0,1,2
B098MHBF23,-0.8007277411467125,5.1187876086474675e-17,-1.9798599816226252
B09H7Q4B74,-0.5166386150882726,-9.058967029936238e-16,-0.7958906484549464
B09T66MSLN,-0.800727741146713,1.3730724450751055e-15,-1.9798599816226299
B09TWSRMCB,-0.5166386150882758,-5.677049509912874e-16,-0.7958906484549414
B09WQ218GR,-0.800727741146716,6.821726000063655e-15,-1.9798599816226194
B09WRJJKXC,-1.7789197171519873,5.270462766947298,4.060393179774977
B0B1XQTZ1R,-0.5166386150882747,-6.999646839378749e-16,-0.7958906484549427
B0BCQZP4SX,8.026577118097228,-2.635768874765251e-15,1.0023561791377043
B0BFFJRB2S,-1.7789197171519924,-5.270462766947299,4.060393179774972
B0BWNW9G8X,-0.5166386150882742,-1.0471147033555366e-16,-0.7958906484549448
