asin,0,1,2
B098MHBF23,-4.38436721544429,-2.270614821272493,0.5360138299951889
B09H7Q4B74,-7.547322733439823,52.42860216622056,-2.6932012651788715
B09T66MSLN,-5.014923334740722,-5.170808873603822,-1.1461878860554666
B09TWSRMCB,-8.299891745930264,-10.563305508159242,42.51131156508977
B09WQ218GR,-5.03655862498706,-4.567246711649407,-0.2039095238369563
B09WRJJKXC,-6.474803687031814,-6.284042743070694,-3.6729644366759833
B0B1XQTZ1R,-3.5834493405953878,-2.6650613040266533,0.9040348945652025
B0BCQZP4SX,-8.598366351984854,-4.343442816104085,-1.5507362331861325
B0BFFJRB2S,-10.17114193809819,-16.464074914404858,-33.839008830143634
B0BWNW9G8X,59.110824972252715,-0.10000447392877129,-0.8453521145734683
